datetime,close,
02/01/14,15.440000,
04/02/14,14.870000,
20/03/14,15.550000,
23/04/14,16.230000,
22/05/14,15.910000,
10/06/14,17.010000,
23/07/14,17.780001,
25/08/14,17.230000,
12/09/14,16.590000,
06/10/14,14.520000,
17/11/14,15.540000,
17/12/14,14.450000,
15/01/15,14.860000,
06/02/15,15.860000,
16/03/15,16.490000,
14/04/15,15.970000,
15/05/15,15.480000,
23/06/15,15.290000,
20/07/15,14.570000,
05/08/15,14.800000,
17/09/15,14.600000,
20/10/15,15.380000,
16/11/15,14.040000,
01/12/15,14.560000,
27/01/16,11.850000,
19/02/16,12.100000,
11/03/16,13.290000,
15/04/16,12.940000,
13/05/16,13.220000,
01/06/16,13.110000,
18/07/16,13.650000,
01/08/16,12.480000,
22/09/16,12.180000,
17/10/16,11.880000,
18/11/16,11.760000,
20/12/16,12.780000,
20/01/17,12.360000,
17/02/17,12.580000,
08/03/17,12.530000,
25/04/17,11.480000,
02/05/17,10.920000,
21/06/17,11.040000,
17/07/17,11.740000,
03/08/17,10.930000,
21/09/17,11.720000,
02/10/17,12.090000,
17/11/17,12.010000,
14/12/17,12.460000,
10/01/18,13.030000,
02/02/18,10.710000,
21/03/18,11.100000,
06/04/18,11.180000,
17/05/18,11.460000,
07/06/18,12.030000,
18/07/18,10.870000,
03/08/18,10.040000,
21/09/18,9.850000,
08/10/18,9.260000,
13/11/18,9.540000,
06/12/18,9.020000,
16/01/19,8.290000,
11/02/19,8.330000,
15/03/19,8.430000,
04/04/19,9.240000,
16/05/19,10.400000,
18/06/19,10.100000,
08/07/19,10.200000,
13/08/19,9.260000,
16/09/19,9.300000,
21/10/19,9.030000,
15/11/19,8.950000,
17/12/19,9.390000,
06/01/20,9.160000,
13/02/20,8.250000,
16/03/20,5.010000,
07/04/20,4.710000,
14/05/20,4.890000,
18/06/20,6.330000,
01/07/20,5.980000,
17/08/20,6.980000,
17/09/20,7.280000,
20/10/20,7.740000,
25/11/20,9.080000,
14/12/20,8.910000,