datetime,close
02/01/14,51.83142853
03/02/14,57.76856995
03/03/14,63.65571213
01/04/14,52.09857178
01/05/14,48.07428741
02/06/14,60.29428482
01/07/14,67.58571625
01/08/14,60.77142715
02/09/14,68.08571625
01/10/14,62.68571472
03/11/14,55.48714447
01/12/14,48.83000183
02/01/15,49.84857178
02/02/15,63.00999832
02/03/15,68.60713959
01/04/15,59.01714325
01/05/15,79.57571411
01/06/15,89.00285339
01/07/15,93.63571167
03/08/15,112.5599976
01/09/15,105.7900009
01/10/15,105.9800034
02/11/15,107.6399994
01/12/15,125.3700027
04/01/16,109.9599991
01/02/16,94.08999634
01/03/16,98.30000305
01/04/16,105.6999969
02/05/16,93.11000061
01/06/16,101.5100021
01/07/16,96.66999817
01/08/16,94.37000275
01/09/16,97.37999725
03/10/16,102.6299973
01/11/16,123.3000031
01/12/16,117.2200012
03/01/17,127.4899979
01/02/17,140.7799988
01/03/17,142.6499939
03/04/17,146.9199982
01/05/17,155.3500061
01/06/17,162.9900055
03/07/17,146.1699982
01/08/17,182.0299988
01/09/17,174.7400055
02/10/17,177.0099945
01/11/17,198
01/12/17,186.8200073
02/01/18,201.0700073
01/02/18,265.0700073
01/03/18,290.3900146
02/04/18,280.2900085
01/05/18,313.2999878
08/06/18,360.5700073
05/07/18,398.3900146
01/08/18,338.3800049
05/09/18,341.1799927
03/10/18,377.0499878
02/11/18,309.1000061
06/12/18,282.8800049
02/01/19,267.6600037
01/02/19,339.8500061
04/03/19,351.0400085
05/04/19,365.4899902
01/05/19,378.8099976
13/06/19,343.4299927
12/07/19,373.25
15/08/19,295.7600098
06/09/19,290.1700134
09/10/19,267.5299988
08/11/19,291.5700073
02/12/19,309.9899902
02/01/20,329.8099976
03/02/20,358
03/03/20,368.769989
07/04/20,372.2799988
06/05/20,434.2600098
05/06/20,419.6000061
08/07/20,502.7799988
12/08/20,475.4700012
04/09/20,516.0499878
01/10/20,527.5100098
02/11/20,484.1199951
03/12/20,497.519989